task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	34/95e3bd	34038	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf)	COMPLETED	0	2022-10-12 16:49:53.818	2.2s	0ms	29.9%	3 MB	5.4 MB	129.9 KB	3 KB
7	48/0dc228	33959	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf)	COMPLETED	0	2022-10-12 16:49:53.514	2.6s	0ms	26.2%	3.1 MB	5.4 MB	81.2 KB	3 KB
1	c6/098c2f	33933	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list)	COMPLETED	0	2022-10-12 16:49:53.478	3.6s	0ms	35.6%	2.8 MB	11 MB	51.3 KB	1 KB
6	6d/d340d0	34011	NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta)	COMPLETED	0	2022-10-12 16:49:53.693	3.7s	1s	26.7%	2.7 MB	11 MB	218.5 KB	110.5 KB
8	aa/1cffcb	34110	NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta)	COMPLETED	0	2022-10-12 16:49:57.396	1.9s	0ms	43.5%	3.1 MB	5.4 MB	147.3 KB	4.8 KB
13	3f/92ac61	34115	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr22_1-40001)	COMPLETED	0	2022-10-12 16:49:57.408	1.9s	0ms	43.2%	3 MB	5.4 MB	86.3 KB	3.1 KB
2	b8/5ed645	33928	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome)	COMPLETED	0	2022-10-12 16:49:53.466	11s	9s	170.2%	284.9 MB	9 GB	99.5 MB	681 KB
5	49/646527	34185	NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta)	COMPLETED	0	2022-10-12 16:49:59.274	8.4s	8s	177.8%	258 MB	9 GB	99.5 MB	681.2 KB
12	4f/e2515a	34247	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test-test_L1)	COMPLETED	0	2022-10-12 16:50:04.525	11.6s	9s	152.1%	504.9 MB	3.3 GB	52 MB	3.4 MB
15	cf/1ed08f	34293	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (test)	COMPLETED	0	2022-10-12 16:50:07.691	16.9s	15s	176.1%	189.4 MB	514.7 MB	174.2 MB	175.9 MB
18	97/b7803b	34404	NFCORE_SAREK:SAREK:MARKDUPLICATES:GATK4_MARKDUPLICATES (test)	COMPLETED	0	2022-10-12 16:50:24.655	15.8s	15s	165.3%	2.4 GB	9.3 GB	134.9 MB	44.6 MB
19	bc/347e55	34494	NFCORE_SAREK:SAREK:MARKDUPLICATES:BAM_TO_CRAM:SAMTOOLS_BAMTOCRAM (test)	COMPLETED	0	2022-10-12 16:50:40.898	3.1s	2s	185.1%	50.3 MB	257.4 MB	65.9 MB	21.9 MB
